Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S342799943,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,X,BR-RJ,Rio de Janeiro,L66826972,Ipanema/Arpoador,-22.98742,-43.196121,2026-05-15,10:58 AM,eBird - Traveling Count,30,0,.805,,2
S342800778,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,X,BR-RJ,Rio de Janeiro,L66969241,Largo da Carioca,-22.90651,-43.177205,2026-05-17,04:28 PM,eBird - Casual Observation,,0,,,2
S341867254,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,6,BR-RJ,Rio de Janeiro,L66786659,Largo do Machado,-22.930838,-43.177671,2026-05-18,03:19 PM,eBird - Casual Observation,,0,,,2
S342802355,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,X,BR-RJ,Rio de Janeiro,L66786659,Largo do Machado,-22.930838,-43.177671,2026-05-19,10:15 AM,eBird - Stationary Count,25,1,,,2
S345766711,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,X,BR-RJ,Rio de Janeiro,L67598567,Maracana Stadium,-22.912991,-43.231055,2026-05-20,11:40 AM,eBird - Casual Observation,,0,,,2
S345737602,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,X,BR-RJ,Rio de Janeiro,L11532167,Parque Eduardo Guinle,-22.9309128,-43.1831111,2026-05-19,10:50 AM,eBird - Traveling Count,60,1,2.012,,2
S345797347,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,X,BR-RJ,Rio de Janeiro,L11532167,Parque Eduardo Guinle,-22.9309128,-43.1831111,2026-05-21,10:27 AM,eBird - Traveling Count,35,0,1.609,,2,,,,659026962 659026963 659026964
S345673323,Rock Pigeon (Feral Pigeon),Columba livia (Feral Pigeon),1868,X,BR-RJ,Rio de Janeiro,L4736564,Praia do Flamengo,-22.9276827,-43.1728363,2026-05-23,08:37 AM,eBird - Traveling Count,75,1,2.414,,2
S345673323,Picazuro Pigeon,Patagioenas picazuro,1949,1,BR-RJ,Rio de Janeiro,L4736564,Praia do Flamengo,-22.9276827,-43.1728363,2026-05-23,08:37 AM,eBird - Traveling Count,75,1,2.414,,2
S321697386,Eurasian Collared-Dove,Streptopelia decaocto,2031,X,US-TX,Bexar,L614722,San Pedro Springs Park (HOTE 094),29.4467731,-98.5014868,2026-04-10,09:09 AM,eBird - Traveling Count,33,0,1.094,,1
S331399158,Eurasian Collared-Dove,Streptopelia decaocto,2031,1,US-TX,Harris,L64744388,Truckyard,29.749712,-95.356001,2026-05-02,06:06 PM,eBird - Casual Observation,,0,,,1
S321692354,Inca Dove,Columbina inca,2242,X,US-TX,Bandera,L55523150,Pipe Creek (private),29.698248,-98.973629,2026-04-12,11:58 AM,eBird - Stationary Count,90,0,,,2
S345796329,Ruddy Ground Dove,Columbina talpacoti,2268,X,BR-RJ,Rio de Janeiro,L67605826,General Osorio,-22.983045,-43.196387,2026-05-22,12:34 PM,eBird - Traveling Count,15,1,.966,,2
S342799943,Ruddy Ground Dove,Columbina talpacoti,2268,X,BR-RJ,Rio de Janeiro,L66826972,Ipanema/Arpoador,-22.98742,-43.196121,2026-05-15,10:58 AM,eBird - Traveling Count,30,0,.805,,2
S342800778,Ruddy Ground Dove,Columbina talpacoti,2268,X,BR-RJ,Rio de Janeiro,L66969241,Largo da Carioca,-22.90651,-43.177205,2026-05-17,04:28 PM,eBird - Casual Observation,,0,,,2
S341867254,Ruddy Ground Dove,Columbina talpacoti,2268,6,BR-RJ,Rio de Janeiro,L66786659,Largo do Machado,-22.930838,-43.177671,2026-05-18,03:19 PM,eBird - Casual Observation,,0,,,2
